id,defect_type,severity,temperature,location,image_path,detected_at,status,taken_by,taken_at,zone
1,Shading,medium,54.2,"Ligne 4, Colonne 3",data/simulated_images\defect_Shading_20260510_023627.png,2026-05-10 02:36:27,taken,Alla Chaimae,2026-05-10 02:54:21,Noor IV
2,Crack,high,74.3,"Ligne 3, Colonne 7",data/simulated_images\defect_Crack_20260510_024252.png,2026-05-10 02:42:53,taken,Alla Chaimae,2026-05-10 02:54:28,Noor IV
3,Hotspot,critical,77.4,"Ligne 3, Colonne 7",data/simulated_images\defect_Hotspot_20260510_024300.png,2026-05-10 02:43:00,taken,Mohammed Alla ,2026-05-10 03:17:42,Noor IV
4,Hotspot,critical,87.6,"Ligne 3, Colonne 7",data/simulated_images\defect_Hotspot_20260510_025419.png,2026-05-10 02:54:21,pending,,,Noor IV
5,Dust,low,41.2,"Ligne 2, Colonne 15",data/simulated_images\defect_Dust_20260510_025428.png,2026-05-10 02:54:28,taken,Alla Chaimae,2026-05-10 02:54:40,Noor IV
6,Hotspot,critical,78.3,"Ligne 4, Colonne 3",data/simulated_images\defect_Hotspot_20260510_031019.png,2026-05-10 03:10:19,taken,Mohammed Alla ,2026-05-10 03:20:50,Noor IV
7,Crack,high,73.9,"Ligne 7, Colonne 11",data/simulated_images\defect_Crack_20260510_031109.png,2026-05-10 03:11:11,taken,Mohammed Alla ,2026-05-10 03:17:52,Noor IV
8,Shading,medium,49.5,"Ligne 8, Colonne 2",data/simulated_images\defect_Shading_20260510_031630.png,2026-05-10 03:16:30,taken,Mohammed Alla ,2026-05-10 03:20:45,Noor IV
9,Broken Cell,critical,90.0,"Ligne 8, Colonne 2",data/simulated_images\defect_Broken Cell_20260510_031742.png,2026-05-10 03:17:42,taken,Mohammed Alla ,2026-05-10 03:17:55,Noor IV
10,Shading,medium,52.9,"Ligne 10, Colonne 8",data/simulated_images\defect_Shading_20260510_031745.png,2026-05-10 03:17:45,taken,Mohammed Alla ,2026-05-10 03:17:59,Noor IV
11,Dust,low,38.2,"Ligne 3, Colonne 7",data/simulated_images\defect_Dust_20260510_032120.png,2026-05-10 03:21:20,taken,Mohammed Alla ,2026-05-10 12:45:43,Noor IV
12,Crack,high,61.2,"Ligne 3, Colonne 7",data/simulated_images\defect_Crack_20260510_123530.png,2026-05-10 12:35:30,taken,Mohammed Alla ,2026-05-10 12:45:47,Noor IV
13,Hotspot,critical,77.4,"Ligne 7, Colonne 11",data/simulated_images\defect_Hotspot_20260510_123722.png,2026-05-10 12:37:24,pending,,,Noor IV
14,Broken Cell,critical,84.0,"Ligne 7, Colonne 11",data/simulated_images\defect_Broken Cell_20260510_124543.png,2026-05-10 12:45:43,pending,,,Noor IV
15,Broken Cell,critical,96.9,"Ligne 2, Colonne 15",data/simulated_images\defect_Broken Cell_20260510_124544.png,2026-05-10 12:45:44,pending,,,Noor IV
16,Crack,high,60.2,"Ligne 2, Colonne 15",data/simulated_images\defect_Crack_20260510_124550.png,2026-05-10 12:45:50,pending,,,Noor IV
17,Crack,high,61.2,"Ligne 5, Colonne 12",data/simulated_images\defect_Crack_20260510_124657.png,2026-05-10 12:46:58,pending,,,Noor IV
18,HTFLeak,critical,91.3,"Noor II, Ligne 8, Colonne 12",data/simulated_images\defect_HTFLeak_20260510_125455.png,2026-05-10 12:54:55,taken,Assia,2026-05-10 13:01:15,Noor II
19,ReceiverTubeLeak,critical,90.1,"Noor III, Ligne 9, Colonne 10",data/simulated_images\defect_ReceiverTubeLeak_20260510_125615.png,2026-05-10 12:56:15,taken,tech,2026-05-10 13:02:17,Noor III
20,ThermalGradientAnomaly,medium,59.9,"Noor III, Ligne 9, Colonne 3",data/simulated_images\defect_ThermalGradientAnomaly_20260510_125722.png,2026-05-10 12:57:24,pending,,,Noor III
21,MirrorMisalignment,high,66.1,"Noor II, Ligne 2, Colonne 13",data/simulated_images\defect_MirrorMisalignment_20260510_130001.png,2026-05-10 13:00:03,taken,Alla Chaimae,2026-05-10 13:01:46,Noor I
22,AbsorberTubeDegradation,critical,96.5,"Noor II, Ligne 5, Colonne 3",data/simulated_images\defect_AbsorberTubeDegradation_20260510_130009.png,2026-05-10 13:00:09,taken,Alla Chaimae,2026-05-10 15:02:35,Noor I
23,StringOpenCircuit,critical,78.6,"Midelt, Ligne 11, Colonne 10",data/simulated_images\defect_StringOpenCircuit_20260510_130012.png,2026-05-10 13:00:12,taken,tech2,2026-05-10 13:04:18,Midelt
24,AbsorberTubeDegradation,critical,82.1,"Noor II, Ligne 11, Colonne 7",data/simulated_images\defect_AbsorberTubeDegradation_20260510_130059.png,2026-05-10 13:01:02,taken,tech3,2026-05-10 15:47:22,Noor I
25,Hotspot,critical,90.4,"Midelt, Ligne 9, Colonne 4",data/simulated_images\defect_Hotspot_20260510_130150.png,2026-05-10 13:01:50,pending,,,Noor IV
26,AbsorberTubeDegradation,critical,90.7,"Noor II, Ligne 7, Colonne 8",data/simulated_images\defect_AbsorberTubeDegradation_20260510_130217.png,2026-05-10 13:02:17,taken,Alla Chaimae,2026-05-10 14:55:27,Noor I
